state,county,UFO_sightings,Unemployment_rate_2013,REGION,DIVISION,POPESTIMATE2013,STNAME,per_capita_sightings
ak,anchorage borough/municipality,12,5.2,4,9,301142,Alaska,3.984831076369288e-05
ak,bethel census area,1,16.2,4,9,17852,Alaska,5.601613264620211e-05
ak,fairbanks north star borough,14,5.9,4,9,100933,Alaska,0.0001387058741937721
ak,hoonah-angoon census area,1,14.7,4,9,2116,Alaska,0.0004725897920604915
ak,kenai peninsula borough,1,8.0,4,9,57014,Alaska,1.753955168905883e-05
ak,ketchikan gateway borough,1,7.8,4,9,13722,Alaska,7.287567409998542e-05
ak,kodiak island borough,2,6.2,4,9,14093,Alaska,0.00014191442560136238
ak,matanuska-susitna borough,10,8.4,4,9,95880,Alaska,0.00010429703796412182
ak,southeast fairbanks census area,1,13.1,4,9,6986,Alaska,0.000143143429716576
al,autauga county,2,6.2,3,6,54727,Alabama,3.654503261644161e-05
al,baldwin county,11,6.6,3,6,194885,Alabama,5.644354362829361e-05
al,barbour county,1,10.2,3,6,26937,Alabama,3.712365890782196e-05
al,blount county,3,6.3,3,6,57619,Alabama,5.206615873236259e-05
al,calhoun county,1,8.8,3,6,116471,Alabama,8.585828231920392e-06
al,coosa county,2,9.2,3,6,11254,Alabama,0.00017771459036786921
al,crenshaw county,1,7.7,3,6,13847,Alabama,7.221780891167762e-05
al,cullman county,1,6.7,3,6,80690,Alabama,1.2393109431156277e-05
al,escambia county,2,8.6,3,6,37765,Alabama,5.2959089103667416e-05
al,hale county,1,11.6,3,6,15246,Alabama,6.559097468188377e-05
al,houston county,1,6.9,3,6,103643,Alabama,9.648504964155805e-06
al,jefferson county,7,6.7,3,6,659265,Alabama,1.0617885068978332e-05
al,lauderdale county,1,7.1,3,6,92701,Alabama,1.0787370147031856e-05
al,lee county,1,5.9,3,6,151809,Alabama,6.58722473634633e-06
